,barren,taiga,tundra,wetlands,total
lyr1,2.382383263,1.17481778,2.668153781,2.295607502,1.237310932
lyr2,2.310991252,1.180808927,2.813573075,2.690838814,1.263863488
lyr3,2.458013792,1.160174351,2.749508511,2.697926981,1.241336198
lyr4,1.916772134,1.174932144,2.791030035,3.836669703,1.274828749
lyr5,2.438648007,1.20272215,2.724293575,3.83555689,1.295616445
lyr6,2.323194211,1.192576394,2.725721533,3.754273163,1.288008455
lyr7,2.663099773,1.245956303,2.770790625,3.888209682,1.3552955
lyr8,2.318952667,1.260919023,2.730357571,3.536410352,1.366085144
lyr9,1.764952206,1.292581559,2.627905913,3.454161711,1.404714664
lyr10,2.415566541,1.205890482,2.803451936,2.661840569,1.304575503
lyr11,2.610356915,1.256248427,2.739207757,2.625485737,1.34792751
lyr12,2.564293433,1.252357211,2.853570353,2.949129993,1.378708814
lyr13,2.210690122,1.260935882,2.748855412,2.831726191,1.367138189
lyr14,2.366106054,1.209379251,2.912826471,3.083310862,1.328644094
lyr15,2.28029596,1.258732968,2.783850441,2.708712246,1.368675177
lyr16,2.690626905,1.219977245,2.713610048,3.008486812,1.321474256
lyr17,2.822992791,1.237739767,2.827815515,3.037817119,1.346289711
lyr18,2.414567159,1.245659017,2.755150891,3.039019625,1.364091676
lyr19,2.306621525,1.208892931,2.77823252,2.967978611,1.319331595
lyr20,2.573332249,1.206748404,2.826204252,2.803998031,1.318973158
lyr21,2.642513837,1.264456312,2.838155971,3.213102337,1.378939508
lyr22,2.276910007,1.210667179,2.769021611,3.122579361,1.320667946
lyr23,2.430916257,1.255137567,2.83447954,2.946190862,1.377925437
lyr24,2.757684988,1.291759415,2.822023849,3.102512418,1.409013755
lyr25,2.795494962,1.249248313,2.761114694,2.580301269,1.347335506
lyr26,2.645154846,1.315352046,2.745423556,3.051578047,1.435111147
lyr27,2.524859435,1.307819298,2.806332124,3.02622229,1.425717778
lyr28,2.380274811,1.359123549,2.859945014,3.993054488,1.500715627
lyr29,2.513662137,1.361124046,2.76242891,3.439040345,1.490703098
lyr30,2.255792449,1.280409021,2.74622166,3.068856655,1.414508052
lyr31,2.572627278,1.256534202,2.800500776,3.499313899,1.372057178
lyr32,2.720959871,1.347481361,2.935419105,3.506880308,1.48392925
lyr33,2.689208332,1.291591534,2.895686499,2.990218911,1.43076388
lyr34,2.572011929,1.344530431,2.834109009,3.562610408,1.491031003
lyr35,2.733031091,1.282217309,2.81341015,3.016594962,1.406785405
lyr36,2.703180458,1.24211432,2.935689021,3.199298173,1.373355476
lyr37,3.028791779,1.300420489,2.959345001,3.225367712,1.452754229
lyr38,2.906640736,1.230678223,2.949205186,2.933844036,1.360439988
lyr39,2.980859866,1.226913347,3.01148164,3.424114376,1.371524309
lyr40,2.791252951,1.288068811,2.896410658,3.054626055,1.429770855
lyr41,2.794490231,1.316651591,2.893576107,2.934701811,1.453267308
lyr42,3.058732805,1.197177038,2.954682294,2.935524031,1.308822826
lyr43,2.714268732,1.318747751,2.858372425,3.173231318,1.451127355
lyr44,3.066126158,1.307986063,2.866955991,2.952021125,1.426355687
lyr45,2.836461062,1.296943528,2.855876358,2.96793131,1.41815757
lyr46,2.646298879,1.308054062,2.882609576,2.282851476,1.424993497
lyr47,2.573586519,1.329295385,2.765913062,2.373151754,1.451025084
lyr48,2.600494208,1.279812463,2.809787602,2.717727847,1.405111898
lyr49,2.634871894,1.300876182,2.722414453,3.524839456,1.408878893
lyr50,2.621880596,1.32734872,2.830589989,2.998590228,1.448392459
lyr51,2.609705117,1.346622,2.678299276,4.282860234,1.459770599
lyr52,2.663400188,1.335054215,2.739497503,4.029902945,1.446419339
lyr53,2.697447193,1.341012153,2.752755774,3.608212027,1.463572195
lyr54,2.567570531,1.201634195,2.801243754,4.110117737,1.311010053
lyr55,2.593968442,1.263959527,2.745093963,4.126616669,1.376046644
lyr56,2.710421572,1.313718438,2.754785898,4.161976944,1.426883435
lyr57,2.619183526,1.290334768,2.779800338,3.847142725,1.41272488
lyr58,2.848141885,1.289759869,2.735547186,2.42102462,1.403694165
lyr59,2.77369308,1.283683092,2.88570222,3.060725668,1.406752825
lyr60,2.901928005,1.306458876,2.900250747,3.088755238,1.421419295
lyr61,3.100231587,1.290475946,2.808284083,2.702999033,1.410184176
lyr62,2.603006641,1.307594318,2.835107853,2.914086676,1.419009208
lyr63,2.758099851,1.286699329,2.873259212,2.492511663,1.397259284
lyr64,2.934020532,1.260444961,2.835990666,2.512490501,1.368594499
lyr65,2.908182811,1.211789655,2.821882518,2.609559877,1.312615703
lyr66,2.424688164,1.318901407,2.779371785,2.732724449,1.426280971
lyr67,2.857704829,1.267269314,2.841613204,2.633130967,1.371771123
lyr68,2.7793608,1.22143613,2.81563114,2.918795934,1.325655676
lyr69,2.273362585,1.313644458,2.760652236,3.838502875,1.418869683
lyr70,2.731452432,1.314903496,2.759301783,3.950782475,1.426500191
lyr71,2.462040751,1.258696655,2.734073837,2.126486791,1.367845696
lyr72,2.424552787,1.233436963,2.889647726,2.919195893,1.345450448
lyr73,2.345503898,1.274807627,2.900307657,1.934006869,1.399044411
lyr74,2.156202897,1.329500858,2.708459634,2.766491991,1.44130956
lyr75,2.226856128,1.303667501,2.694567848,3.311058376,1.415758796
lyr76,2.424968745,1.339184176,2.711637079,3.144888008,1.444147094
lyr77,2.62910137,1.308184199,2.813867022,2.966719477,1.417682083
lyr78,2.429702939,1.315183041,2.7093125,3.345905932,1.430637345
lyr79,2.607676409,1.366013655,2.859052482,3.513340269,1.498052544
lyr80,2.457317444,1.353331251,2.71990881,3.256723106,1.469944241
lyr81,2.420848942,1.324557069,2.767581043,3.131940943,1.438450097
lyr82,2.477483131,1.305481189,2.717144107,3.577338231,1.425672814
lyr83,2.779580879,1.326975494,2.772223851,3.470080763,1.457414041
lyr84,2.606869412,1.288801622,2.706401882,3.341786322,1.40412252
lyr85,2.781168018,1.317923159,2.686129806,3.167218477,1.433299466
lyr86,2.714783409,1.261677017,2.78094936,3.360533317,1.3819237
lyr87,2.873438512,1.281824585,2.798525039,3.525541971,1.404296971
lyr88,2.789049161,1.362975851,2.864652334,3.352542027,1.49593565
lyr89,2.506681759,1.339288796,2.703295138,3.414287902,1.462183597
lyr90,2.347277104,1.386466511,2.775941441,3.214860744,1.51859638
lyr91,2.34829692,1.404614051,2.742576452,3.517657185,1.536435482
lyr92,2.511240505,1.34455631,2.798655722,3.302418188,1.477094038
lyr93,2.44102842,1.331293158,2.782016228,3.334093277,1.463752371
lyr94,2.518351551,1.331728031,2.851127113,3.280807822,1.477871907
lyr95,2.291610244,1.31905281,2.770436774,3.369159364,1.448824772
lyr96,2.206139046,1.393217371,2.738929449,3.606694559,1.537436999
lyr97,2.250955045,1.407093786,2.783144713,3.385182455,1.546496606
lyr98,2.537085408,1.387462002,2.82754475,3.057193836,1.54085267
lyr99,2.739512506,1.396855006,2.830154406,3.276735282,1.521043072
lyr100,2.738017942,1.388898508,2.807253034,3.308337866,1.523458774
lyr101,3.070485061,1.370103442,2.832391703,3.373588103,1.510657928
lyr102,2.757735955,1.350355934,2.831752427,3.194150574,1.503973456
lyr103,2.531381322,1.358739631,2.83895106,3.266724393,1.522148438
lyr104,2.817573269,1.413167749,2.859971118,3.274437597,1.566510375
lyr105,2.834263886,1.40181574,2.89589847,3.59279677,1.553006215
lyr106,2.619575579,1.390583961,2.870576207,3.295602668,1.54288899
lyr107,2.703833624,1.39667016,2.923698196,3.066878206,1.551446774
lyr108,2.547028414,1.431427096,2.93659737,3.420339453,1.604392155
lyr109,3.060917658,1.352865583,3.00664025,3.163928624,1.515053507
lyr110,2.849739537,1.361771958,3.01506377,3.288683842,1.532141816
lyr111,2.698478269,1.356626939,2.920108917,3.361343749,1.532230945
lyr112,3.014719659,1.404887678,3.03709031,3.288020512,1.586864021
lyr113,2.856337488,1.379265295,2.997035373,3.245594026,1.543096923
lyr114,2.810254133,1.441510277,2.903943687,3.358213845,1.600579515
lyr115,3.036158218,1.312275844,2.967679069,3.465921429,1.484645524
lyr116,2.772903576,1.354651801,2.951859323,3.355503722,1.5133311
lyr117,3.185572248,1.312614724,2.957675293,3.331476358,1.465063218
lyr118,2.797171208,1.262178948,2.903609086,3.277741007,1.408076731
lyr119,3.038376643,1.29630711,2.896732328,3.301010258,1.445295874
lyr120,2.833907023,1.33037019,2.969895628,3.493451495,1.488203734
lyr121,2.901670925,1.35089477,2.857961761,3.519187933,1.498147447
lyr122,3.099556469,1.298476682,2.936339552,3.572521043,1.449117907
lyr123,2.988454643,1.278934965,2.979079083,3.601127687,1.425461218
lyr124,2.774773342,1.358654362,2.970401496,3.012857593,1.515662158
lyr125,2.901226333,1.273574846,3.013621541,3.491320543,1.428573946
lyr126,2.942224271,1.323885723,2.97970716,3.331482797,1.464225194
lyr127,3.112128224,1.350577199,3.0619528,3.598976385,1.501779981
lyr128,2.655234394,1.414678299,2.990900827,3.506870394,1.568828936
lyr129,2.488809014,1.397593015,2.993290826,3.334628689,1.547225077
lyr130,2.503343884,1.381631776,2.951432242,3.382204347,1.539002909
lyr131,2.615638928,1.383177732,2.950484521,3.418138716,1.547968418
lyr132,2.784988558,1.365751589,2.969471578,4.121798827,1.52173245
lyr133,2.874963284,1.339238309,2.973178897,3.736923031,1.491279396
lyr134,2.948751837,1.349621953,2.94441884,3.356609575,1.490539525
lyr135,2.623082735,1.340004372,2.885101631,3.267827876,1.477767096
lyr136,2.602037553,1.404202368,2.858012392,3.403575158,1.537058523
lyr137,2.957883004,1.441179249,3.030692956,3.514677405,1.588219598
lyr138,2.715924236,1.413610638,3.021262935,3.448248844,1.564028415
lyr139,2.558448444,1.393748589,3.004632424,3.544143178,1.538421133
lyr140,2.849189928,1.424594163,2.94966252,3.638444028,1.574508087
lyr141,2.784884448,1.409466506,3.005370926,3.422640632,1.582346006
lyr142,2.901280879,1.428306412,3.010543834,3.26948447,1.593255011
lyr143,2.767927941,1.418415822,2.930713582,3.306987081,1.567772097
