"","sum"
"lyr1",1.17481778025265
"lyr2",1.1808089267116
"lyr3",1.16017435110874
"lyr4",1.17493214390813
"lyr5",1.20272215032022
"lyr6",1.19257639376774
"lyr7",1.24595630334223
"lyr8",1.26091902274936
"lyr9",1.29258155948814
"lyr10",1.20589048173188
"lyr11",1.25624842734732
"lyr12",1.25235721117992
"lyr13",1.26093588165103
"lyr14",1.20937925131168
"lyr15",1.25873296790028
"lyr16",1.21997724466316
"lyr17",1.23773976746479
"lyr18",1.2456590168944
"lyr19",1.20889293099922
"lyr20",1.20674840375712
"lyr21",1.26445631237056
"lyr22",1.21066717941182
"lyr23",1.25513756687764
"lyr24",1.29175941465536
"lyr25",1.24924831340391
"lyr26",1.31535204578931
"lyr27",1.30781929755352
"lyr28",1.35912354874746
"lyr29",1.36112404636058
"lyr30",1.28040902133542
"lyr31",1.25653420236953
"lyr32",1.34748136144715
"lyr33",1.29159153433742
"lyr34",1.34453043117395
"lyr35",1.28221730895698
"lyr36",1.24211432031219
"lyr37",1.30042048879166
"lyr38",1.23067822269598
"lyr39",1.22691334710095
"lyr40",1.28806881117365
"lyr41",1.31665159123357
"lyr42",1.1971770384407
"lyr43",1.31874775102533
"lyr44",1.30798606292573
"lyr45",1.29694352773056
"lyr46",1.30805406215083
"lyr47",1.32929538514014
"lyr48",1.27981246331662
"lyr49",1.30087618220502
"lyr50",1.32734871988569
"lyr51",1.3466220001832
"lyr52",1.33505421500152
"lyr53",1.34101215349266
"lyr54",1.20163419491085
"lyr55",1.26395952741894
"lyr56",1.31371843764874
"lyr57",1.29033476754012
"lyr58",1.28975986947498
"lyr59",1.2836830917933
"lyr60",1.30645887580092
"lyr61",1.29047594550853
"lyr62",1.30759431815789
"lyr63",1.28669932949867
"lyr64",1.2604449607993
"lyr65",1.21178965509063
"lyr66",1.3189014068791
"lyr67",1.26726931449891
"lyr68",1.22143613013713
"lyr69",1.31364445788183
"lyr70",1.31490349585083
"lyr71",1.25869665525949
"lyr72",1.23343696282247
"lyr73",1.27480762669332
"lyr74",1.32950085777121
"lyr75",1.3036675009092
"lyr76",1.33918417593222
"lyr77",1.30818419887328
"lyr78",1.31518304061441
"lyr79",1.36601365458862
"lyr80",1.35333125131602
"lyr81",1.32455706883123
"lyr82",1.30548118879516
"lyr83",1.32697549353779
"lyr84",1.2888016217949
"lyr85",1.31792315866291
"lyr86",1.26167701671201
"lyr87",1.28182458539801
"lyr88",1.36297585058139
"lyr89",1.33928879560975
"lyr90",1.38646651074018
"lyr91",1.4046140510067
"lyr92",1.34455630961154
"lyr93",1.33129315766642
"lyr94",1.33172803068784
"lyr95",1.31905281029833
